/opt/conda/lib/python3.7/site-packages/xgboost/training.py:19: UserWarning: Old style callback is deprecated.  See: https://xgboost.readthedocs.io/en/latest/python/callbacks.html
  warnings.warn(f'Old style callback is deprecated.  See: {link}', UserWarning)
[22:07:41] WARNING: ../src/learner.cc:541: 
Parameters: { n_estimators, num_leaves } might not be used.

  This may not be accurate due to some parameters are only used in language bindings but
  passed down to XGBoost core.  Or some parameters are not used but slip through this
  verification. Please open an issue if you find above cases.


[0]	train-auc:0.80145	test-auc:0.78939
[562]	train-auc:0.97052	test-auc:0.86801
[563]	train-auc:0.97067	test-auc:0.86798
[564]	train-auc:0.97079	test-auc:0.86806
[565]	train-auc:0.97086	test-auc:0.86812
[566]	train-auc:0.97090	test-auc:0.86811
[567]	train-auc:0.97096	test-auc:0.86810
[568]	train-auc:0.97113	test-auc:0.86803
[569]	train-auc:0.97118	test-auc:0.86803
[570]	train-auc:0.97129	test-auc:0.86806
[571]	train-auc:0.97140	test-auc:0.86805
[572]	train-auc:0.97146	test-auc:0.86804
[573]	train-auc:0.97150	test-auc:0.86801
[574]	train-auc:0.97157	test-auc:0.86806
[575]	train-auc:0.97163	test-auc:0.86806
[576]	train-auc:0.97176	test-auc:0.86810
[577]	train-auc:0.97181	test-auc:0.86810
[578]	train-auc:0.97189	test-auc:0.86809
[579]	train-auc:0.97199	test-auc:0.86804
[580]	train-auc:0.97202	test-auc:0.86807
[581]	train-auc:0.97203	test-auc:0.86806
[582]	train-auc:0.97213	test-auc:0.86805
[583]	train-auc:0.97217	test-auc:0.86804
[584]	train-auc:0.97225	test-auc:0.86800
[585]	train-auc:0.97235	test-auc:0.86803
[586]	train-auc:0.97236	test-auc:0.86802
[587]	train-auc:0.97252	test-auc:0.86806
[588]	train-auc:0.97264	test-auc:0.86808
[589]	train-auc:0.97273	test-auc:0.86807
[590]	train-auc:0.97277	test-auc:0.86808
[591]	train-auc:0.97284	test-auc:0.86807
[592]	train-auc:0.97296	test-auc:0.86810
[593]	train-auc:0.97304	test-auc:0.86806
[594]	train-auc:0.97314	test-auc:0.86807
[595]	train-auc:0.97327	test-auc:0.86805
[596]	train-auc:0.97332	test-auc:0.86807
[597]	train-auc:0.97345	test-auc:0.86806
[598]	train-auc:0.97352	test-auc:0.86806
[599]	train-auc:0.97356	test-auc:0.86807
[600]	train-auc:0.97365	test-auc:0.86805
[601]	train-auc:0.97370	test-auc:0.86803
[602]	train-auc:0.97373	test-auc:0.86800
[603]	train-auc:0.97382	test-auc:0.86796
[604]	train-auc:0.97388	test-auc:0.86795
[605]	train-auc:0.97394	test-auc:0.86796
[606]	train-auc:0.97403	test-auc:0.86802
[607]	train-auc:0.97408	test-auc:0.86801
[608]	train-auc:0.97417	test-auc:0.86801
[609]	train-auc:0.97421	test-auc:0.86799
[610]	train-auc:0.97424	test-auc:0.86797
[611]	train-auc:0.97429	test-auc:0.86795
[612]	train-auc:0.97436	test-auc:0.86793
[613]	train-auc:0.97442	test-auc:0.86792
[614]	train-auc:0.97452	test-auc:0.86790
[615]	train-auc:0.97459	test-auc:0.86794
[616]	train-auc:0.97468	test-auc:0.86796
[617]	train-auc:0.97474	test-auc:0.86798
[618]	train-auc:0.97483	test-auc:0.86795
[619]	train-auc:0.97493	test-auc:0.86796
[620]	train-auc:0.97497	test-auc:0.86795
[621]	train-auc:0.97503	test-auc:0.86798
[622]	train-auc:0.97512	test-auc:0.86796
[623]	train-auc:0.97516	test-auc:0.86797
[624]	train-auc:0.97522	test-auc:0.86798
[625]	train-auc:0.97526	test-auc:0.86795
[626]	train-auc:0.97531	test-auc:0.86794
[627]	train-auc:0.97532	test-auc:0.86792
[628]	train-auc:0.97535	test-auc:0.86791
[629]	train-auc:0.97540	test-auc:0.86789
[630]	train-auc:0.97543	test-auc:0.86789
[631]	train-auc:0.97546	test-auc:0.86788
[632]	train-auc:0.97549	test-auc:0.86788
[633]	train-auc:0.97552	test-auc:0.86788
[634]	train-auc:0.97561	test-auc:0.86791
[635]	train-auc:0.97571	test-auc:0.86792
[636]	train-auc:0.97579	test-auc:0.86787
[637]	train-auc:0.97584	test-auc:0.86785
[638]	train-auc:0.97592	test-auc:0.86792
[639]	train-auc:0.97600	test-auc:0.86799
[640]	train-auc:0.97611	test-auc:0.86798
[641]	train-auc:0.97621	test-auc:0.86796
[642]	train-auc:0.97629	test-auc:0.86792
[643]	train-auc:0.97632	test-auc:0.86789
[644]	train-auc:0.97639	test-auc:0.86788
[645]	train-auc:0.97646	test-auc:0.86788
[646]	train-auc:0.97650	test-auc:0.86788
[647]	train-auc:0.97654	test-auc:0.86789
[648]	train-auc:0.97663	test-auc:0.86792
[649]	train-auc:0.97672	test-auc:0.86793
[650]	train-auc:0.97678	test-auc:0.86795
[651]	train-auc:0.97685	test-auc:0.86794
[652]	train-auc:0.97694	test-auc:0.86791
[653]	train-auc:0.97702	test-auc:0.86798
[654]	train-auc:0.97709	test-auc:0.86799
[655]	train-auc:0.97710	test-auc:0.86799
[656]	train-auc:0.97716	test-auc:0.86799
[657]	train-auc:0.97719	test-auc:0.86798
[658]	train-auc:0.97725	test-auc:0.86798
[659]	train-auc:0.97727	test-auc:0.86798
[660]	train-auc:0.97730	test-auc:0.86796
[661]	train-auc:0.97734	test-auc:0.86797
[662]	train-auc:0.97738	test-auc:0.86796
[663]	train-auc:0.97740	test-auc:0.86795
[664]	train-auc:0.97747	test-auc:0.86794
[665]	train-auc:0.97749	test-auc:0.86791
[666]	train-auc:0.97758	test-auc:0.86794
[667]	train-auc:0.97767	test-auc:0.86797
[668]	train-auc:0.97771	test-auc:0.86796
[669]	train-auc:0.97776	test-auc:0.86791
[670]	train-auc:0.97778	test-auc:0.86788
[671]	train-auc:0.97786	test-auc:0.86786
[672]	train-auc:0.97789	test-auc:0.86788
[673]	train-auc:0.97795	test-auc:0.86786
[674]	train-auc:0.97801	test-auc:0.86788
[675]	train-auc:0.97812	test-auc:0.86785
[676]	train-auc:0.97818	test-auc:0.86786
[677]	train-auc:0.97823	test-auc:0.86792
[678]	train-auc:0.97830	test-auc:0.86794
[679]	train-auc:0.97837	test-auc:0.86798
[680]	train-auc:0.97840	test-auc:0.86795
[681]	train-auc:0.97843	test-auc:0.86796
[682]	train-auc:0.97851	test-auc:0.86793
[683]	train-auc:0.97853	test-auc:0.86794
[684]	train-auc:0.97857	test-auc:0.86795
[685]	train-auc:0.97861	test-auc:0.86794
[686]	train-auc:0.97868	test-auc:0.86795
[687]	train-auc:0.97877	test-auc:0.86796
[688]	train-auc:0.97879	test-auc:0.86795
[689]	train-auc:0.97883	test-auc:0.86794
[690]	train-auc:0.97887	test-auc:0.86792
[691]	train-auc:0.97897	test-auc:0.86789
[692]	train-auc:0.97903	test-auc:0.86787
[693]	train-auc:0.97910	test-auc:0.86786
[694]	train-auc:0.97913	test-auc:0.86787
[695]	train-auc:0.97923	test-auc:0.86788
[696]	train-auc:0.97925	test-auc:0.86787
[697]	train-auc:0.97929	test-auc:0.86785
[698]	train-auc:0.97933	test-auc:0.86784
[699]	train-auc:0.97934	test-auc:0.86783
[700]	train-auc:0.97943	test-auc:0.86785
[701]	train-auc:0.97948	test-auc:0.86785
[702]	train-auc:0.97949	test-auc:0.86784
[703]	train-auc:0.97954	test-auc:0.86783
[704]	train-auc:0.97960	test-auc:0.86779
[705]	train-auc:0.97966	test-auc:0.86781
[706]	train-auc:0.97967	test-auc:0.86782
[707]	train-auc:0.97972	test-auc:0.86784
[708]	train-auc:0.97974	test-auc:0.86785
[709]	train-auc:0.97975	test-auc:0.86784
[710]	train-auc:0.97979	test-auc:0.86787
[711]	train-auc:0.97986	test-auc:0.86783
[712]	train-auc:0.97990	test-auc:0.86783
[713]	train-auc:0.97999	test-auc:0.86785
[714]	train-auc:0.98003	test-auc:0.86784
[715]	train-auc:0.98012	test-auc:0.86780
[716]	train-auc:0.98016	test-auc:0.86779
[717]	train-auc:0.98019	test-auc:0.86778
[718]	train-auc:0.98027	test-auc:0.86777
[719]	train-auc:0.98029	test-auc:0.86777
[720]	train-auc:0.98032	test-auc:0.86776
[721]	train-auc:0.98038	test-auc:0.86778
[722]	train-auc:0.98049	test-auc:0.86778
[723]	train-auc:0.98053	test-auc:0.86779
[724]	train-auc:0.98059	test-auc:0.86777
[725]	train-auc:0.98066	test-auc:0.86775
[726]	train-auc:0.98069	test-auc:0.86774
[727]	train-auc:0.98073	test-auc:0.86771
[728]	train-auc:0.98076	test-auc:0.86771
[729]	train-auc:0.98082	test-auc:0.86771
[730]	train-auc:0.98087	test-auc:0.86772
[731]	train-auc:0.98090	test-auc:0.86773
[732]	train-auc:0.98096	test-auc:0.86774
[733]	train-auc:0.98103	test-auc:0.86774
[734]	train-auc:0.98108	test-auc:0.86775
[735]	train-auc:0.98108	test-auc:0.86773
[736]	train-auc:0.98113	test-auc:0.86776
[737]	train-auc:0.98115	test-auc:0.86772
[738]	train-auc:0.98123	test-auc:0.86771
[739]	train-auc:0.98125	test-auc:0.86768
[740]	train-auc:0.98130	test-auc:0.86765
[741]	train-auc:0.98132	test-auc:0.86766
[742]	train-auc:0.98133	test-auc:0.86765
[743]	train-auc:0.98136	test-auc:0.86763
[744]	train-auc:0.98144	test-auc:0.86761
[745]	train-auc:0.98151	test-auc:0.86768
[746]	train-auc:0.98152	test-auc:0.86769
[747]	train-auc:0.98160	test-auc:0.86773
[748]	train-auc:0.98165	test-auc:0.86770
[749]	train-auc:0.98173	test-auc:0.86772
[750]	train-auc:0.98179	test-auc:0.86773
[751]	train-auc:0.98185	test-auc:0.86773
[752]	train-auc:0.98196	test-auc:0.86774
[753]	train-auc:0.98200	test-auc:0.86770
[754]	train-auc:0.98206	test-auc:0.86767
[755]	train-auc:0.98213	test-auc:0.86764
[756]	train-auc:0.98222	test-auc:0.86762
[757]	train-auc:0.98227	test-auc:0.86757
[758]	train-auc:0.98232	test-auc:0.86760
[759]	train-auc:0.98239	test-auc:0.86758
[760]	train-auc:0.98245	test-auc:0.86761
[761]	train-auc:0.98249	test-auc:0.86761
[762]	train-auc:0.98252	test-auc:0.86761
[763]	train-auc:0.98259	test-auc:0.86758
[764]	train-auc:0.98265	test-auc:0.86757
[765]	train-auc:0.98270	test-auc:0.86757
[766]	train-auc:0.98275	test-auc:0.86759
[767]	train-auc:0.98282	test-auc:0.86758
[768]	train-auc:0.98288	test-auc:0.86756
[769]	train-auc:0.98293	test-auc:0.86754
[770]	train-auc:0.98296	test-auc:0.86754
[771]	train-auc:0.98305	test-auc:0.86756
[772]	train-auc:0.98308	test-auc:0.86755
[773]	train-auc:0.98312	test-auc:0.86757
[774]	train-auc:0.98315	test-auc:0.86756
[775]	train-auc:0.98320	test-auc:0.86759
[776]	train-auc:0.98326	test-auc:0.86756
[777]	train-auc:0.98332	test-auc:0.86756
[778]	train-auc:0.98334	test-auc:0.86756
[779]	train-auc:0.98336	test-auc:0.86758
[780]	train-auc:0.98338	test-auc:0.86757
[781]	train-auc:0.98343	test-auc:0.86753
[782]	train-auc:0.98344	test-auc:0.86754
[783]	train-auc:0.98348	test-auc:0.86755
[784]	train-auc:0.98349	test-auc:0.86755
[785]	train-auc:0.98350	test-auc:0.86758
[786]	train-auc:0.98352	test-auc:0.86758
[787]	train-auc:0.98358	test-auc:0.86755
[788]	train-auc:0.98363	test-auc:0.86754
[789]	train-auc:0.98366	test-auc:0.86753
[790]	train-auc:0.98367	test-auc:0.86754
[791]	train-auc:0.98367	test-auc:0.86754
[792]	train-auc:0.98370	test-auc:0.86754
[793]	train-auc:0.98373	test-auc:0.86755
[794]	train-auc:0.98374	test-auc:0.86755
[795]	train-auc:0.98378	test-auc:0.86755
[796]	train-auc:0.98383	test-auc:0.86753
[797]	train-auc:0.98389	test-auc:0.86748
[798]	train-auc:0.98392	test-auc:0.86751
[799]	train-auc:0.98399	test-auc:0.86754
[800]	train-auc:0.98401	test-auc:0.86754
[801]	train-auc:0.98407	test-auc:0.86752
[802]	train-auc:0.98412	test-auc:0.86754
[803]	train-auc:0.98415	test-auc:0.86756
[804]	train-auc:0.98416	test-auc:0.86755
[805]	train-auc:0.98420	test-auc:0.86751
[806]	train-auc:0.98426	test-auc:0.86749
[807]	train-auc:0.98434	test-auc:0.86747
[808]	train-auc:0.98439	test-auc:0.86749
[809]	train-auc:0.98443	test-auc:0.86748
[810]	train-auc:0.98446	test-auc:0.86747
[811]	train-auc:0.98450	test-auc:0.86746
[812]	train-auc:0.98459	test-auc:0.86751
[813]	train-auc:0.98462	test-auc:0.86750
[814]	train-auc:0.98467	test-auc:0.86748
[815]	train-auc:0.98474	test-auc:0.86746
[816]	train-auc:0.98480	test-auc:0.86744
[817]	train-auc:0.98486	test-auc:0.86742
[818]	train-auc:0.98492	test-auc:0.86741
[819]	train-auc:0.98496	test-auc:0.86741
[820]	train-auc:0.98501	test-auc:0.86740
[821]	train-auc:0.98503	test-auc:0.86738
[822]	train-auc:0.98510	test-auc:0.86736
[823]	train-auc:0.98515	test-auc:0.86734
[824]	train-auc:0.98518	test-auc:0.86732
[825]	train-auc:0.98523	test-auc:0.86733
[826]	train-auc:0.98531	test-auc:0.86739
[827]	train-auc:0.98535	test-auc:0.86739
[828]	train-auc:0.98541	test-auc:0.86746
[829]	train-auc:0.98545	test-auc:0.86745
[830]	train-auc:0.98552	test-auc:0.86748
[831]	train-auc:0.98555	test-auc:0.86747
[832]	train-auc:0.98561	test-auc:0.86752
[833]	train-auc:0.98569	test-auc:0.86751
[834]	train-auc:0.98571	test-auc:0.86750
[835]	train-auc:0.98578	test-auc:0.86751
[836]	train-auc:0.98582	test-auc:0.86750
[837]	train-auc:0.98584	test-auc:0.86750
[838]	train-auc:0.98588	test-auc:0.86748
[839]	train-auc:0.98593	test-auc:0.86750
[840]	train-auc:0.98594	test-auc:0.86751
[841]	train-auc:0.98603	test-auc:0.86752
[842]	train-auc:0.98607	test-auc:0.86751
[843]	train-auc:0.98610	test-auc:0.86753
[844]	train-auc:0.98613	test-auc:0.86752
[845]	train-auc:0.98616	test-auc:0.86752
[846]	train-auc:0.98619	test-auc:0.86751
[847]	train-auc:0.98621	test-auc:0.86750
[848]	train-auc:0.98625	test-auc:0.86749
[849]	train-auc:0.98630	test-auc:0.86747
[850]	train-auc:0.98634	test-auc:0.86748
[851]	train-auc:0.98634	test-auc:0.86748
[852]	train-auc:0.98635	test-auc:0.86746
[853]	train-auc:0.98643	test-auc:0.86747
[854]	train-auc:0.98646	test-auc:0.86741
[855]	train-auc:0.98651	test-auc:0.86740
[856]	train-auc:0.98654	test-auc:0.86739
[857]	train-auc:0.98658	test-auc:0.86736
[858]	train-auc:0.98661	test-auc:0.86735
[859]	train-auc:0.98664	test-auc:0.86735
[860]	train-auc:0.98666	test-auc:0.86734
[861]	train-auc:0.98672	test-auc:0.86735
[862]	train-auc:0.98677	test-auc:0.86737
[863]	train-auc:0.98680	test-auc:0.86739
[864]	train-auc:0.98682	test-auc:0.86738
[865]	train-auc:0.98687	test-auc:0.86736
[866]	train-auc:0.98694	test-auc:0.86731
[867]	train-auc:0.98694	test-auc:0.86732
[868]	train-auc:0.98699	test-auc:0.86740
[869]	train-auc:0.98702	test-auc:0.86742
[870]	train-auc:0.98707	test-auc:0.86741
[871]	train-auc:0.98710	test-auc:0.86737
[872]	train-auc:0.98711	test-auc:0.86735
[873]	train-auc:0.98717	test-auc:0.86731
[874]	train-auc:0.98719	test-auc:0.86730
[875]	train-auc:0.98723	test-auc:0.86731
[876]	train-auc:0.98726	test-auc:0.86731
[877]	train-auc:0.98729	test-auc:0.86734
[878]	train-auc:0.98735	test-auc:0.86734
[879]	train-auc:0.98740	test-auc:0.86733
[880]	train-auc:0.98744	test-auc:0.86732
[881]	train-auc:0.98749	test-auc:0.86734
[882]	train-auc:0.98753	test-auc:0.86738
[883]	train-auc:0.98757	test-auc:0.86736
[884]	train-auc:0.98762	test-auc:0.86739
[885]	train-auc:0.98766	test-auc:0.86740
[886]	train-auc:0.98769	test-auc:0.86742
[887]	train-auc:0.98771	test-auc:0.86742
[888]	train-auc:0.98776	test-auc:0.86740
[889]	train-auc:0.98780	test-auc:0.86737
[890]	train-auc:0.98782	test-auc:0.86740
[891]	train-auc:0.98787	test-auc:0.86740
[892]	train-auc:0.98792	test-auc:0.86744
[893]	train-auc:0.98792	test-auc:0.86743
[894]	train-auc:0.98798	test-auc:0.86743
[895]	train-auc:0.98800	test-auc:0.86739
[896]	train-auc:0.98806	test-auc:0.86740
[897]	train-auc:0.98810	test-auc:0.86738
[898]	train-auc:0.98812	test-auc:0.86735
[899]	train-auc:0.98815	test-auc:0.86731
[900]	train-auc:0.98818	test-auc:0.86727
[901]	train-auc:0.98821	test-auc:0.86725
[902]	train-auc:0.98822	test-auc:0.86719
[903]	train-auc:0.98824	test-auc:0.86721
[904]	train-auc:0.98825	test-auc:0.86721
[905]	train-auc:0.98828	test-auc:0.86721
[906]	train-auc:0.98830	test-auc:0.86722
[907]	train-auc:0.98835	test-auc:0.86720
[908]	train-auc:0.98838	test-auc:0.86720
[909]	train-auc:0.98841	test-auc:0.86718
[910]	train-auc:0.98844	test-auc:0.86718
[911]	train-auc:0.98844	test-auc:0.86717
[912]	train-auc:0.98846	test-auc:0.86721
[913]	train-auc:0.98848	test-auc:0.86721
[914]	train-auc:0.98848	test-auc:0.86722
[915]	train-auc:0.98849	test-auc:0.86721
[916]	train-auc:0.98852	test-auc:0.86727
[917]	train-auc:0.98856	test-auc:0.86726
[918]	train-auc:0.98859	test-auc:0.86723
[919]	train-auc:0.98861	test-auc:0.86722
[920]	train-auc:0.98869	test-auc:0.86724
[921]	train-auc:0.98872	test-auc:0.86725
[922]	train-auc:0.98877	test-auc:0.86730
[923]	train-auc:0.98881	test-auc:0.86730
[924]	train-auc:0.98885	test-auc:0.86728
[925]	train-auc:0.98886	test-auc:0.86728
[926]	train-auc:0.98886	test-auc:0.86727
[927]	train-auc:0.98888	test-auc:0.86727
[928]	train-auc:0.98889	test-auc:0.86728
[929]	train-auc:0.98894	test-auc:0.86728
[930]	train-auc:0.98899	test-auc:0.86725
[931]	train-auc:0.98904	test-auc:0.86725
[932]	train-auc:0.98907	test-auc:0.86724
[933]	train-auc:0.98909	test-auc:0.86720
[934]	train-auc:0.98910	test-auc:0.86721
[935]	train-auc:0.98914	test-auc:0.86720
[936]	train-auc:0.98917	test-auc:0.86721
[937]	train-auc:0.98918	test-auc:0.86724
[938]	train-auc:0.98920	test-auc:0.86724
[939]	train-auc:0.98923	test-auc:0.86725
[940]	train-auc:0.98927	test-auc:0.86724
[941]	train-auc:0.98930	test-auc:0.86721
[942]	train-auc:0.98930	test-auc:0.86720
[943]	train-auc:0.98937	test-auc:0.86721
[944]	train-auc:0.98938	test-auc:0.86724
[945]	train-auc:0.98943	test-auc:0.86726
[946]	train-auc:0.98946	test-auc:0.86728
[947]	train-auc:0.98946	test-auc:0.86729
[948]	train-auc:0.98949	test-auc:0.86730
[949]	train-auc:0.98950	test-auc:0.86731
[950]	train-auc:0.98951	test-auc:0.86730
[951]	train-auc:0.98955	test-auc:0.86728
[952]	train-auc:0.98957	test-auc:0.86726
[953]	train-auc:0.98958	test-auc:0.86728
[954]	train-auc:0.98960	test-auc:0.86726
[955]	train-auc:0.98962	test-auc:0.86728
[956]	train-auc:0.98966	test-auc:0.86729
[957]	train-auc:0.98972	test-auc:0.86729
[958]	train-auc:0.98977	test-auc:0.86732
[959]	train-auc:0.98981	test-auc:0.86734
[960]	train-auc:0.98984	test-auc:0.86731
[961]	train-auc:0.98989	test-auc:0.86731
[962]	train-auc:0.98989	test-auc:0.86732
[963]	train-auc:0.98993	test-auc:0.86733
[964]	train-auc:0.98998	test-auc:0.86735
[965]	train-auc:0.99001	test-auc:0.86734
[966]	train-auc:0.99003	test-auc:0.86738
[967]	train-auc:0.99004	test-auc:0.86739
[968]	train-auc:0.99007	test-auc:0.86736
[969]	train-auc:0.99010	test-auc:0.86734
[970]	train-auc:0.99013	test-auc:0.86733
[971]	train-auc:0.99016	test-auc:0.86733
[972]	train-auc:0.99018	test-auc:0.86730
[973]	train-auc:0.99021	test-auc:0.86729
[974]	train-auc:0.99022	test-auc:0.86728
[975]	train-auc:0.99025	test-auc:0.86725
[976]	train-auc:0.99029	test-auc:0.86725
[977]	train-auc:0.99032	test-auc:0.86723
[978]	train-auc:0.99037	test-auc:0.86725
[979]	train-auc:0.99040	test-auc:0.86723
[980]	train-auc:0.99043	test-auc:0.86727
[981]	train-auc:0.99047	test-auc:0.86730
[982]	train-auc:0.99051	test-auc:0.86729
[983]	train-auc:0.99053	test-auc:0.86733
[984]	train-auc:0.99057	test-auc:0.86735
[985]	train-auc:0.99062	test-auc:0.86733
[986]	train-auc:0.99063	test-auc:0.86732
[987]	train-auc:0.99064	test-auc:0.86732
[988]	train-auc:0.99067	test-auc:0.86731
[989]	train-auc:0.99071	test-auc:0.86729
[990]	train-auc:0.99072	test-auc:0.86727
[991]	train-auc:0.99074	test-auc:0.86729
[992]	train-auc:0.99076	test-auc:0.86728
[993]	train-auc:0.99076	test-auc:0.86726
[994]	train-auc:0.99081	test-auc:0.86720
[995]	train-auc:0.99081	test-auc:0.86720
[996]	train-auc:0.99085	test-auc:0.86719
[997]	train-auc:0.99089	test-auc:0.86720
[998]	train-auc:0.99091	test-auc:0.86714
[999]	train-auc:0.99091	test-auc:0.86713
[[1.         0.91930449]
 [0.91930449 1.        ]]
[[1.         0.58208102]
 [0.58208102 1.        ]]
[[1.         0.70694356]
 [0.70694356 1.        ]]
[[1.         0.91930449]
 [0.91930449 1.        ]]
[[1.         0.58208102]
 [0.58208102 1.        ]]
[[1.         0.70694356]
 [0.70694356 1.        ]]
[[1.         0.91930449]
 [0.91930449 1.        ]]
[[1.         0.58208102]
 [0.58208102 1.        ]]
[[1.         0.70694356]
 [0.70694356 1.        ]]
[[1.         0.91930449]
 [0.91930449 1.        ]]
[[1.         0.58208102]
 [0.58208102 1.        ]]
[[1.         0.70694356]
 [0.70694356 1.        ]]
[[1.         0.91930449]
 [0.91930449 1.        ]]
[[1.         0.58208102]
 [0.58208102 1.        ]]
[[1.         0.70694356]
 [0.70694356 1.        ]]
[[1.         0.91930449]
 [0.91930449 1.        ]]
[[1.         0.58208102]
 [0.58208102 1.        ]]
[[1.         0.70694356]
 [0.70694356 1.        ]]
[[1.         0.91930449]
 [0.91930449 1.        ]]
[[1.         0.58208102]
 [0.58208102 1.        ]]
[[1.         0.70694356]
 [0.70694356 1.        ]]
[[1.         0.91930449]
 [0.91930449 1.        ]]
[[1.         0.58208102]
 [0.58208102 1.        ]]
[[1.         0.70694356]
 [0.70694356 1.        ]]
