Found `n_estimators` in params. Will use it instead of argument
[LightGBM] [Info] Number of positive: 18173, number of negative: 65827
[LightGBM] [Warning] Auto-choosing row-wise multi-threading, the overhead of testing was 0.030521 seconds.
You can set `force_row_wise=true` to remove the overhead.
And if memory is not enough, you can set `force_col_wise=true`.
[LightGBM] [Info] Total Bins 25512
[LightGBM] [Info] Number of data points in the train set: 84000, number of used features: 177
Overriding the parameters from Reference Dataset.
categorical_column in param dict is overridden.
[LightGBM] [Info] [binary:BoostFromScore]: pavg=0.216345 -> initscore=-1.287093
[LightGBM] [Info] Start training from score -1.287093
[1]	auc's auc: 0.818621
[46]	val's auc: 0.853535
[47]	val's auc: 0.85373
[48]	val's auc: 0.854076
[49]	val's auc: 0.854262
[50]	val's auc: 0.854554
[51]	val's auc: 0.854895
[52]	val's auc: 0.855236
[53]	val's auc: 0.855456
[54]	val's auc: 0.855629
[55]	val's auc: 0.855885
[56]	val's auc: 0.856107
[57]	val's auc: 0.856219
[58]	val's auc: 0.856437
[59]	val's auc: 0.856784
[60]	val's auc: 0.857039
[61]	val's auc: 0.8573
[62]	val's auc: 0.857799
[63]	val's auc: 0.858119
[64]	val's auc: 0.858381
[65]	val's auc: 0.858567
[66]	val's auc: 0.858913
[67]	val's auc: 0.859194
[68]	val's auc: 0.859332
[69]	val's auc: 0.85948
[70]	val's auc: 0.859618
[71]	val's auc: 0.859862
[72]	val's auc: 0.86021
[73]	val's auc: 0.860367
[74]	val's auc: 0.860532
[75]	val's auc: 0.86077
[76]	val's auc: 0.861005
[77]	val's auc: 0.861305
[78]	val's auc: 0.86141
[79]	val's auc: 0.861703
[80]	val's auc: 0.86184
[81]	val's auc: 0.862115
[82]	val's auc: 0.862208
[83]	val's auc: 0.862438
[84]	val's auc: 0.862504
[85]	val's auc: 0.862558
[86]	val's auc: 0.862783
[87]	val's auc: 0.862887
[88]	val's auc: 0.86292
[89]	val's auc: 0.863051
[90]	val's auc: 0.863212
[91]	val's auc: 0.863687
[92]	val's auc: 0.86382
[93]	val's auc: 0.863924
[94]	val's auc: 0.864003
[95]	val's auc: 0.86424
[96]	val's auc: 0.86434
[97]	val's auc: 0.864392
[98]	val's auc: 0.864578
[99]	val's auc: 0.86472
[100]	val's auc: 0.864789
[101]	val's auc: 0.86481
[102]	val's auc: 0.864894
[103]	val's auc: 0.864944
[104]	val's auc: 0.865048
[105]	val's auc: 0.865122
[106]	val's auc: 0.86523
[107]	val's auc: 0.865362
[108]	val's auc: 0.865452
[109]	val's auc: 0.865753
[110]	val's auc: 0.865815
[111]	val's auc: 0.865883
[112]	val's auc: 0.866079
[113]	val's auc: 0.866326
[114]	val's auc: 0.866377
[115]	val's auc: 0.866376
[116]	val's auc: 0.866599
[117]	val's auc: 0.866643
[118]	val's auc: 0.866707
[119]	val's auc: 0.866967
[120]	val's auc: 0.867008
[121]	val's auc: 0.867055
[122]	val's auc: 0.867111
[123]	val's auc: 0.867165
[124]	val's auc: 0.867249
[125]	val's auc: 0.867254
[126]	val's auc: 0.867433
[127]	val's auc: 0.867493
[128]	val's auc: 0.867624
[129]	val's auc: 0.867675
[130]	val's auc: 0.867703
[131]	val's auc: 0.867756
[132]	val's auc: 0.867963
[133]	val's auc: 0.868036
[134]	val's auc: 0.868033
[135]	val's auc: 0.868095
[136]	val's auc: 0.868161
[137]	val's auc: 0.868359
[138]	val's auc: 0.868373
[139]	val's auc: 0.868348
[140]	val's auc: 0.868387
[141]	val's auc: 0.868493
[142]	val's auc: 0.868481
[143]	val's auc: 0.86855
[144]	val's auc: 0.868602
[145]	val's auc: 0.868623
[146]	val's auc: 0.868688
[147]	val's auc: 0.868829
[148]	val's auc: 0.868867
[149]	val's auc: 0.868862
[150]	val's auc: 0.868871
[151]	val's auc: 0.868889
[152]	val's auc: 0.868943
[153]	val's auc: 0.869049
[154]	val's auc: 0.869223
[155]	val's auc: 0.869227
[156]	val's auc: 0.869246
[157]	val's auc: 0.86924
[158]	val's auc: 0.869267
[159]	val's auc: 0.869277
[160]	val's auc: 0.869268
[161]	val's auc: 0.869281
[162]	val's auc: 0.869305
[163]	val's auc: 0.869311
[164]	val's auc: 0.869393
[165]	val's auc: 0.869417
[166]	val's auc: 0.869485
[167]	val's auc: 0.869501
[168]	val's auc: 0.869482
[169]	val's auc: 0.869484
[170]	val's auc: 0.869558
[171]	val's auc: 0.869626
[172]	val's auc: 0.869626
[173]	val's auc: 0.869694
[174]	val's auc: 0.869707
[175]	val's auc: 0.869724
[176]	val's auc: 0.869825
[177]	val's auc: 0.869789
[178]	val's auc: 0.869781
[179]	val's auc: 0.86976
[180]	val's auc: 0.869823
[181]	val's auc: 0.869838
[182]	val's auc: 0.869897
[183]	val's auc: 0.869913
[184]	val's auc: 0.869895
[185]	val's auc: 0.869893
[186]	val's auc: 0.869914
[187]	val's auc: 0.869931
[188]	val's auc: 0.869896
[189]	val's auc: 0.869917
[190]	val's auc: 0.869994
[191]	val's auc: 0.870014
[192]	val's auc: 0.869987
[193]	val's auc: 0.86999
[194]	val's auc: 0.869977
[195]	val's auc: 0.869983
[196]	val's auc: 0.869985
[197]	val's auc: 0.869957
[198]	val's auc: 0.86993
[199]	val's auc: 0.869909
[200]	val's auc: 0.869949
[201]	val's auc: 0.869951
Early stopping, best iteration is:
[191]	val's auc: 0.870014
0.9528829794389149
0.8690665334021913
0.8593699260266283
Found `n_estimators` in params. Will use it instead of argument
[LightGBM] [Info] Number of positive: 18173, number of negative: 65827
[LightGBM] [Warning] Auto-choosing row-wise multi-threading, the overhead of testing was 0.030324 seconds.
You can set `force_row_wise=true` to remove the overhead.
And if memory is not enough, you can set `force_col_wise=true`.
[LightGBM] [Info] Total Bins 25512
[LightGBM] [Info] Number of data points in the train set: 84000, number of used features: 177
Overriding the parameters from Reference Dataset.
categorical_column in param dict is overridden.
[LightGBM] [Info] [binary:BoostFromScore]: pavg=0.216345 -> initscore=-1.287093
[LightGBM] [Info] Start training from score -1.287093
[1]	val's auc: 0.818621
Training until validation scores don't improve for 10 rounds
[2]	val's auc: 0.822185
[3]	val's auc: 0.827662
[4]	val's auc: 0.829174
[5]	val's auc: 0.831133
[6]	val's auc: 0.832416
[7]	val's auc: 0.833193
[8]	val's auc: 0.834483
[9]	val's auc: 0.835705
[10]	val's auc: 0.83688
[11]	val's auc: 0.837639
[12]	val's auc: 0.838215
[13]	val's auc: 0.83891
[14]	val's auc: 0.839456
[15]	val's auc: 0.840531
[16]	val's auc: 0.841364
[17]	val's auc: 0.841921
[18]	val's auc: 0.842655
[19]	val's auc: 0.843266
[20]	val's auc: 0.843738
[21]	val's auc: 0.844397
[22]	val's auc: 0.844868
[23]	val's auc: 0.845354
[24]	val's auc: 0.845705
[25]	val's auc: 0.845982
[26]	val's auc: 0.846508
[27]	val's auc: 0.847063
[28]	val's auc: 0.84759
[29]	val's auc: 0.848172
[30]	val's auc: 0.848559
[31]	val's auc: 0.849002
[32]	val's auc: 0.849553
[33]	val's auc: 0.850007
[34]	val's auc: 0.850414
[35]	val's auc: 0.850695
[36]	val's auc: 0.851046
[37]	val's auc: 0.851375
[38]	val's auc: 0.851687
[39]	val's auc: 0.851911
[40]	val's auc: 0.852126
[41]	val's auc: 0.852439
[42]	val's auc: 0.85282
[43]	val's auc: 0.853053
[44]	val's auc: 0.853481
[45]	val's auc: 0.854014
[46]	val's auc: 0.854202
[47]	val's auc: 0.854528
[48]	val's auc: 0.854836
[49]	val's auc: 0.855041
[50]	val's auc: 0.855382
[51]	val's auc: 0.855726
[52]	val's auc: 0.856246
[53]	val's auc: 0.856405
[54]	val's auc: 0.856574
[55]	val's auc: 0.856872
[56]	val's auc: 0.857109
[57]	val's auc: 0.857345
[58]	val's auc: 0.857559
[59]	val's auc: 0.857685
[60]	val's auc: 0.858002
[61]	val's auc: 0.858183
[62]	val's auc: 0.858449
[63]	val's auc: 0.858675
[64]	val's auc: 0.858804
[65]	val's auc: 0.858973
[66]	val's auc: 0.859167
[67]	val's auc: 0.859385
[68]	val's auc: 0.859638
[69]	val's auc: 0.85983
[70]	val's auc: 0.860108
[71]	val's auc: 0.860231
[72]	val's auc: 0.860526
[73]	val's auc: 0.860899
[74]	val's auc: 0.861131
[75]	val's auc: 0.861218
[76]	val's auc: 0.861356
[77]	val's auc: 0.861431
[78]	val's auc: 0.861648
[79]	val's auc: 0.861805
[80]	val's auc: 0.861952
[81]	val's auc: 0.862215
[82]	val's auc: 0.862382
[83]	val's auc: 0.862607
[84]	val's auc: 0.862731
[85]	val's auc: 0.862903
[86]	val's auc: 0.863054
[87]	val's auc: 0.863205
[88]	val's auc: 0.863314
[89]	val's auc: 0.863386
[90]	val's auc: 0.863513
[91]	val's auc: 0.863658
[92]	val's auc: 0.863807
[93]	val's auc: 0.863816
[94]	val's auc: 0.864087
[95]	val's auc: 0.864127
[96]	val's auc: 0.86438
[97]	val's auc: 0.864463
[98]	val's auc: 0.864559
[99]	val's auc: 0.864679
[100]	val's auc: 0.864858
[101]	val's auc: 0.865004
[102]	val's auc: 0.865213
[103]	val's auc: 0.865261
[104]	val's auc: 0.865551
[105]	val's auc: 0.865743
[106]	val's auc: 0.865811
[107]	val's auc: 0.865878
[108]	val's auc: 0.866118
[109]	val's auc: 0.866185
[110]	val's auc: 0.866445
[111]	val's auc: 0.866471
[112]	val's auc: 0.866477
[113]	val's auc: 0.866619
[114]	val's auc: 0.86667
[115]	val's auc: 0.866849
[116]	val's auc: 0.866931
[117]	val's auc: 0.866982
[118]	val's auc: 0.867052
[119]	val's auc: 0.867154
[120]	val's auc: 0.867179
[121]	val's auc: 0.867294
[122]	val's auc: 0.867307
[123]	val's auc: 0.867378
[124]	val's auc: 0.867571
[125]	val's auc: 0.867661
[126]	val's auc: 0.867729
[127]	val's auc: 0.867809
[128]	val's auc: 0.867914
[129]	val's auc: 0.86799
[130]	val's auc: 0.868007
[131]	val's auc: 0.868151
[132]	val's auc: 0.868191
[133]	val's auc: 0.868349
[134]	val's auc: 0.868366
[135]	val's auc: 0.868379
[136]	val's auc: 0.868444
[137]	val's auc: 0.868567
[138]	val's auc: 0.86865
[139]	val's auc: 0.868681
[140]	val's auc: 0.868733
[141]	val's auc: 0.868802
[142]	val's auc: 0.86881
[143]	val's auc: 0.868827
[144]	val's auc: 0.868854
[145]	val's auc: 0.868897
[146]	val's auc: 0.868945
[147]	val's auc: 0.868995
[148]	val's auc: 0.868999
[149]	val's auc: 0.869021
[150]	val's auc: 0.86903
[151]	val's auc: 0.869084
[152]	val's auc: 0.869215
[153]	val's auc: 0.86917
[154]	val's auc: 0.869198
[155]	val's auc: 0.86918
[156]	val's auc: 0.869209
[157]	val's auc: 0.869267
[158]	val's auc: 0.86928
[159]	val's auc: 0.869273
[160]	val's auc: 0.869272
[161]	val's auc: 0.869306
[162]	val's auc: 0.869323
[163]	val's auc: 0.86938
[164]	val's auc: 0.869402
[165]	val's auc: 0.869393
[166]	val's auc: 0.869362
[167]	val's auc: 0.86937
[168]	val's auc: 0.869413
[169]	val's auc: 0.869448
[170]	val's auc: 0.869448
[171]	val's auc: 0.869495
[172]	val's auc: 0.869522
[173]	val's auc: 0.869583
[174]	val's auc: 0.869613
[175]	val's auc: 0.869606
[176]	val's auc: 0.869609
[177]	val's auc: 0.869646
[178]	val's auc: 0.869665
[179]	val's auc: 0.86964
[180]	val's auc: 0.869626
[181]	val's auc: 0.869626
[182]	val's auc: 0.869605
[183]	val's auc: 0.869742
[184]	val's auc: 0.869766
[185]	val's auc: 0.86977
[186]	val's auc: 0.869793
[187]	val's auc: 0.869821
[188]	val's auc: 0.869781
[189]	val's auc: 0.869778
[190]	val's auc: 0.869772
[191]	val's auc: 0.869789
[192]	val's auc: 0.869762
[193]	val's auc: 0.869762
[194]	val's auc: 0.869765
[195]	val's auc: 0.869775
[196]	val's auc: 0.869774
[197]	val's auc: 0.869806
Early stopping, best iteration is:
[187]	val's auc: 0.869821
0.9532939839168344
0.8700139225127136
0.8622758507763351
Found `n_estimators` in params. Will use it instead of argument
[LightGBM] [Info] Number of positive: 18173, number of negative: 65827
[LightGBM] [Warning] Auto-choosing row-wise multi-threading, the overhead of testing was 0.030717 seconds.
You can set `force_row_wise=true` to remove the overhead.
And if memory is not enough, you can set `force_col_wise=true`.
[LightGBM] [Info] Total Bins 25512
[LightGBM] [Info] Number of data points in the train set: 84000, number of used features: 177
Overriding the parameters from Reference Dataset.
categorical_column in param dict is overridden.
[LightGBM] [Info] [binary:BoostFromScore]: pavg=0.216345 -> initscore=-1.287093
[LightGBM] [Info] Start training from score -1.287093
[1]	val's auc: 0.819502
Training until validation scores don't improve for 10 rounds
[2]	val's auc: 0.826531
[3]	val's auc: 0.831971
[4]	val's auc: 0.833927
[5]	val's auc: 0.835381
[6]	val's auc: 0.836973
[7]	val's auc: 0.837367
[8]	val's auc: 0.83832
[9]	val's auc: 0.839235
[10]	val's auc: 0.840104
[11]	val's auc: 0.84061
[12]	val's auc: 0.841223
[13]	val's auc: 0.842005
[14]	val's auc: 0.842383
[15]	val's auc: 0.842813
[16]	val's auc: 0.843164
[17]	val's auc: 0.843446
[18]	val's auc: 0.843757
[19]	val's auc: 0.84415
[20]	val's auc: 0.84491
[21]	val's auc: 0.845221
[22]	val's auc: 0.845799
[23]	val's auc: 0.846044
[24]	val's auc: 0.846349
[25]	val's auc: 0.8467
[26]	val's auc: 0.846887
[27]	val's auc: 0.847179
[28]	val's auc: 0.84749
[29]	val's auc: 0.847917
[30]	val's auc: 0.848241
[31]	val's auc: 0.848601
[32]	val's auc: 0.848859
[33]	val's auc: 0.849216
[34]	val's auc: 0.849689
[35]	val's auc: 0.850046
[36]	val's auc: 0.850637
[37]	val's auc: 0.850772
[38]	val's auc: 0.851282
[39]	val's auc: 0.851599
[40]	val's auc: 0.851983
[41]	val's auc: 0.852265
[42]	val's auc: 0.852365
[43]	val's auc: 0.852829
[44]	val's auc: 0.853104
[45]	val's auc: 0.85326
[46]	val's auc: 0.853535
[47]	val's auc: 0.85373
[48]	val's auc: 0.854076
[49]	val's auc: 0.854262
[50]	val's auc: 0.854554
[51]	val's auc: 0.854895
[52]	val's auc: 0.855236
[53]	val's auc: 0.855456
[54]	val's auc: 0.855629
[55]	val's auc: 0.855885
[56]	val's auc: 0.856107
[57]	val's auc: 0.856219
[58]	val's auc: 0.856437
[59]	val's auc: 0.856784
[60]	val's auc: 0.857039
[61]	val's auc: 0.8573
[62]	val's auc: 0.857799
[63]	val's auc: 0.858119
[64]	val's auc: 0.858381
[65]	val's auc: 0.858567
[66]	val's auc: 0.858913
[67]	val's auc: 0.859194
[68]	val's auc: 0.859332
[69]	val's auc: 0.85948
[70]	val's auc: 0.859618
[71]	val's auc: 0.859862
[72]	val's auc: 0.86021
[73]	val's auc: 0.860367
[74]	val's auc: 0.860532
[75]	val's auc: 0.86077
[76]	val's auc: 0.861005
[77]	val's auc: 0.861305
[78]	val's auc: 0.86141
[79]	val's auc: 0.861703
[80]	val's auc: 0.86184
[81]	val's auc: 0.862115
[82]	val's auc: 0.862208
[83]	val's auc: 0.862438
[84]	val's auc: 0.862504
[85]	val's auc: 0.862558
[86]	val's auc: 0.862783
[87]	val's auc: 0.862887
[88]	val's auc: 0.86292
[89]	val's auc: 0.863051
[90]	val's auc: 0.863212
